platform,show_id,title,content_type,release_year,rating,duration_value,duration_unit,primary_genre,genres,country,date_added,director,description
Netflix,81145628,Norm of the North: King Sized Adventure,Movie,2019,TV-PG,90.0,min,Children & Family Movies,"Children & Family Movies, Comedies","United States, India, South Korea, China","September 9, 2019","Richard Finn, Tim Maltby","Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first."
Netflix,80117401,Jandino: Whatever it Takes,Movie,2016,TV-MA,94.0,min,Stand-Up Comedy,Stand-Up Comedy,United Kingdom,"September 9, 2016",,"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show."
Netflix,70234439,Transformers Prime,TV Show,2013,TV-Y7-FV,1.0,season,Kids' TV,Kids' TV,United States,"September 8, 2018",,"With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron."
Netflix,80058654,Transformers: Robots in Disguise,TV Show,2016,TV-Y7,1.0,season,Kids' TV,Kids' TV,United States,"September 8, 2018",,"When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind."
Netflix,80125979,#realityhigh,Movie,2017,TV-14,99.0,min,Comedies,Comedies,United States,"September 8, 2017",Fernando Lebrija,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity."
Netflix,80163890,Apaches,TV Show,2016,TV-MA,1.0,season,Crime TV Shows,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Spain,"September 8, 2017",,A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.
Netflix,70304989,Automata,Movie,2014,R,110.0,min,International Movies,"International Movies, Sci-Fi & Fantasy, Thrillers","Bulgaria, United States, Spain, Canada","September 8, 2017",Gabe Ibáñez,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy."
Netflix,80164077,Fabrizio Copano: Solo pienso en mi,Movie,2017,TV-MA,60.0,min,Stand-Up Comedy,Stand-Up Comedy,Chile,"September 8, 2017","Rodrigo Toro, Francisco Schultz","Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more."
Netflix,80117902,Fire Chasers,TV Show,2017,TV-MA,1.0,season,Docuseries,"Docuseries, Science & Nature TV",United States,"September 8, 2017",,"As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries."
Netflix,70304990,Good People,Movie,2014,R,90.0,min,Action & Adventure,"Action & Adventure, Thrillers","United States, United Kingdom, Denmark, Sweden","September 8, 2017",Henrik Ruben Genz,A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.
Netflix,80169755,Joaquín Reyes: Una y no más,Movie,2017,TV-MA,78.0,min,Stand-Up Comedy,Stand-Up Comedy,,"September 8, 2017",José Miguel Contreras,"Comedian and celebrity impersonator Joaquín Reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more."
Netflix,70299204,Kidnapping Mr. Heineken,Movie,2015,R,95.0,min,Action & Adventure,"Action & Adventure, Dramas, International Movies","Netherlands, Belgium, United Kingdom, United States","September 8, 2017",Daniel Alfredson,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history."
Netflix,80182480,Krish Trish and Baltiboy,Movie,2009,TV-Y7,58.0,min,Children & Family Movies,Children & Family Movies,,"September 8, 2017",,"A team of minstrels, including a monkey, cat and donkey, narrate folktales from the Indian regions of Rajasthan, Kerala and Punjab."
Netflix,80182483,Krish Trish and Baltiboy: Battle of Wits,Movie,2013,TV-Y7,62.0,min,Children & Family Movies,Children & Family Movies,,"September 8, 2017","Munjal Shroff, Tilak Shetty","An artisan is cheated of his payment, a lion of his throne and a brother of his inheritance in these three stories of deception and justice."
Netflix,80182596,Krish Trish and Baltiboy: Best Friends Forever,Movie,2016,TV-Y,65.0,min,Children & Family Movies,Children & Family Movies,,"September 8, 2017","Munjal Shroff, Tilak Shetty","A cat, monkey and donkey team up to narrate folktales about friendship from Northeast India, and the Indian regions of Bihar and Rajasthan."
Netflix,80182482,Krish Trish and Baltiboy: Comics of India,Movie,2012,TV-Y7,61.0,min,Children & Family Movies,Children & Family Movies,,"September 8, 2017",Tilak Shetty,"In three comic-strip-style tales, a boy tries to sell wisdom, a demon is released from captivity, and a king assigns impossible tasks to his minister."
